"Timestamp","Latitude","Longitude","Accuracy","Location Name","Retrieved from","Username","Context"
"2016-11-09 00:36:16 +0000","42.5658565","-71.269559","low","Billerica","twitter","hockball53","Rask u pussy"
"2016-11-09 00:32:04 +0000","42.4857935","-71.2763865","low","Bedford","twitter","mloughlin","@RohithNAcharya Not good - still could go either way"
"2016-11-09 00:25:20 +0000","42.5305985","-71.232447","low","Pinehurst","twitter","MorrisTyler1022","@charlesapigott happy birthday chuck"
"2016-11-09 00:25:17 +0000","42.5055345","-71.204591","low","Burlington","twitter","Ariannamillz","I bought steaks tonight, so this can go 2 ways. It's either going to be a celebratory meal, or a last supper."
"2016-11-09 00:24:40 +0000","42.48251569","-71.21371686","high","Burlington","twitter","chellabreton","#mycreation what's-yours? @fullspotitaly 👜 @ Burlington Mall https://t.co/hORrpryPoi"
"2016-11-09 00:23:32 +0000","42.5658565","-71.269559","low","Billerica","twitter","panthonyjr","If TRUMP takes FL and NH it's game on!!! #ElectionNight"
"2016-11-09 00:21:14 +0000","42.448798","-71.3700795","low","Concord","twitter","VivacitySport","Travelling during late fall in Concord, MA, bedrock of the American Revolution.. #Vote before polls close!… https://t.co/anNOrVqZED"
"2016-11-09 00:18:20 +0000","42.5055345","-71.204591","low","Burlington","twitter","johnjambrose","The Battleground States Votes Come In - Live Feed | Zero Hedge https://t.co/yoRP91N6vj"
"2016-11-09 00:17:19 +0000","42.4857935","-71.2763865","low","Bedford","twitter","mloughlin","@Trump_Ameri16 you won't like my tweets"
"2016-11-09 00:12:57 +0000","42.5055345","-71.204591","low","Burlington","twitter","filthyliving","Headache 😔"
"2016-11-09 00:09:37 +0000","42.4857935","-71.2763865","low","Bedford","twitter","SamyahsMom","I'm so good at saving money."
"2016-11-09 00:09:29 +0000","42.4857935","-71.2763865","low","Bedford","twitter","SamyahsMom","last year I was pregant and worked up till 2 days before Samyah was born and took off months before I went back to work"
"2016-11-09 00:08:45 +0000","42.4857935","-71.2763865","low","Bedford","twitter","SamyahsMom","Ima work my ass off all winter so I can vacation all summer ✨"
"2016-11-09 00:08:22 +0000","42.4857935","-71.2763865","low","Bedford","twitter","SamyahsMom","just 4 more hours ..."
"2016-11-09 00:08:16 +0000","42.5305985","-71.232447","low","Pinehurst","twitter","MorrisTyler1022","Only fitting https://t.co/eQcQMZgspo"
"2016-11-09 00:04:55 +0000","42.5658565","-71.269559","low","Billerica","twitter","panthonyjr","Congrats @RandPaul https://t.co/d1Rz5K8f0t"
"2016-11-09 00:03:39 +0000","42.4906231","-71.2760089","high","Bedford","twitter","DestinationJobs","Can you recommend anyone for this #job? PT Shuttle Driver - https://t.co/0TYI9Inpbo #Hospitality #Bedford, MA #Hiring"
"2016-11-09 00:03:34 +0000","42.5055345","-71.204591","low","Burlington","twitter","CourtneyAbban","We wouldn't be in this situation if @Erika_Rosberg12 didn't drop out #ElectionNight https://t.co/SRewEyp0QV"
"2016-11-08 23:59:13 +0000","42.5658565","-71.269559","low","Billerica","twitter","Woaahitsangelx3","Chugged half a martini at the end of dinner &amp; I'm feeling it😜🍸"
"2016-11-08 23:53:16 +0000","42.4857935","-71.2763865","low","Bedford","twitter","mloughlin","Early voting results on @cnn helping me to make a list of states I should probably never visit #electionnight"
"2016-11-08 23:51:24 +0000","42.5055345","-71.204591","low","Burlington","twitter","filthyliving","What are the voting polls looking like? Do we know?"
"2016-11-08 23:50:08 +0000","42.4857935","-71.2763865","low","Bedford","twitter","lespasio0o","Did early voting. Didn't get a sticker. I guess I really didn't vote."
"2016-11-08 23:49:33 +0000","42.4906231","-71.2760089","high","Bedford","twitter","emdjobs","Join the EMD team! See our latest #job opening here: https://t.co/08MyaTgseS #Pharmaceutical #Bedford, MA #Hiring"
